model,annee,mise_en_circulation,kilometrage,energie,boite,nb_portes,nb_places,premiere_main,puissance,departement
250.0,2022,2022,9913,2.0,1.0,5,5,0.0,122.0,94
265.0,2020,2020,24409,0.0,1.0,5,5,1.0,116.0,57
134.0,2020,2020,58040,0.0,2.0,5,5,1.0,102.0,69
112.0,2020,2020,46545,2.0,1.0,2,3,0.0,221.25,67
402.0,2019,2019,42471,0.0,2.0,5,5,1.0,110.0,24
231.0,2022,2022,21,2.0,2.0,5,5,0.0,120.0,78
402.0,2022,2022,12,2.0,1.0,5,5,0.0,140.0,69
394.0,2022,2022,12,2.0,2.0,5,5,0.0,90.0,69
82.0,2022,2022,14750,0.0,1.0,4,5,0.0,150.0,6
39.0,2020,2020,28885,2.0,1.0,5,5,0.0,150.0,30
300.0,2019,2019,88706,0.0,2.0,5,5,1.0,150.0,57
408.0,2020,2020,45260,0.0,1.0,5,5,0.0,116.0,24
486.0,2020,2020,63978,0.0,1.0,5,5,1.0,150.0,69
46.0,2019,2019,72000,2.0,1.0,5,2,1.0,400.0,1
130.0,2018,2018,103221,2.0,2.0,5,5,0.0,110.0,13
386.0,2018,2018,38599,2.0,1.0,5,5,0.0,360.0,27
453.0,2012,2012,137008,2.0,1.0,3,4,0.0,200.0,28
300.0,2019,2019,18544,2.0,1.0,5,5,1.0,192.0,24
394.0,2020,2020,13898,2.0,2.0,5,5,1.0,101.0,77
472.0,2019,2019,69703,2.0,2.0,5,5,1.0,115.0,66
245.0,2015,2015,91913,2.0,1.0,4,5,1.0,530.0,69
186.0,2018,2018,115795,0.0,2.0,5,5,1.0,125.0,66
394.0,2022,2022,11,2.0,2.0,5,5,0.0,90.0,35
427.0,2021,2022,9463,2.0,2.0,5,5,1.0,110.0,31
169.0,2019,2019,32864,2.0,2.0,3,4,1.0,69.0,24
394.0,2019,2019,45988,0.0,2.0,5,5,0.0,75.0,66
293.0,2004,2004,137622,2.0,1.0,2,2,0.0,500.0,95
341.0,2020,2020,11715,2.0,2.0,5,5,0.0,82.0,78
230.0,2017,2017,86044,0.0,2.0,5,5,1.0,115.0,94
480.0,2019,2019,99823,0.0,2.0,4,3,1.0,102.0,24
266.0,2021,2021,19583,2.0,1.0,5,5,0.0,136.0,73
100.0,2018,2018,83329,0.0,1.0,5,5,0.0,231.0,31
342.0,2019,2019,51335,2.0,2.0,5,5,0.0,82.0,82
96.0,2014,2014,74330,2.0,1.0,4,5,0.0,561.0,95
137.0,2022,2022,6743,2.0,2.0,5,5,1.0,131.0,24
63.0,2010,2010,112320,2.0,1.0,2,4,0.0,611.0,10
132.0,2022,2022,1,2.0,2.0,5,5,1.0,131.0,42
378.0,2011,2012,90203,2.0,1.0,2,2,0.0,256.0,67
329.0,2019,2019,29240,2.0,2.0,5,5,0.0,82.0,26
168.0,2022,2022,11,2.0,2.0,5,5,1.0,120.0,30
341.0,2018,2018,31193,2.0,2.0,5,5,0.0,82.0,34
242.0,2017,2017,34416,2.0,2.0,2,4,0.0,405.0,69
